               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1145,            0.053179,            0.027166,           0.0067869,             0.26097,           0.0069261,           0.0018341,            0.097959,            0.048129,            0.021016,            0.070612,           0.0032653,           0.0032653
                   1,            0.089863,            0.065591,            0.018718,             0.15244,              0.2975,              0.1189,            0.030362,            0.082494,            0.047358,            0.015255,             0.04059,           0.0065769,           0.0065769
                   2,            0.080258,            0.058337,            0.014712,             0.24877,             0.34193,             0.18856,            0.060611,            0.079125,            0.042953,             0.01195,            0.010547,           0.0098664,           0.0098664
                   3,            0.073566,              0.0527,            0.012145,             0.25234,             0.43952,             0.22741,            0.080712,            0.073263,            0.057505,           0.0097042,            0.009901,            0.009901,            0.009901
                   4,              0.0675,            0.054153,            0.010613,             0.41155,             0.49139,              0.3745,             0.13483,             0.06358,            0.039123,           0.0090086,            0.009901,            0.009901,            0.009901
                   5,            0.062972,            0.054655,           0.0099638,              0.6015,             0.51975,             0.54091,             0.21074,            0.059709,            0.040276,           0.0088881,            0.009868,            0.009868,            0.009868
                   6,            0.061859,            0.051011,             0.00927,             0.55821,             0.53741,             0.51143,             0.18314,            0.062638,            0.040771,           0.0087824,            0.009835,            0.009835,            0.009835
                   7,            0.060839,            0.050177,           0.0093085,             0.58212,             0.58523,             0.54719,             0.22752,            0.056906,            0.038306,           0.0083744,            0.009802,            0.009802,            0.009802
                   8,            0.058159,            0.051036,           0.0088417,             0.63967,             0.58465,             0.60517,             0.25235,            0.056405,            0.036782,           0.0083487,            0.009769,            0.009769,            0.009769
                   9,            0.056967,            0.048727,           0.0086287,              0.6839,             0.57316,             0.61245,              0.2554,            0.055602,            0.036188,            0.007739,            0.009736,            0.009736,            0.009736
                  10,             0.05679,            0.049183,           0.0082858,             0.66166,             0.54623,             0.59111,              0.2534,            0.055886,            0.037722,           0.0082632,            0.009703,            0.009703,            0.009703
                  11,            0.056314,            0.050833,           0.0080107,               0.673,             0.61559,             0.63406,             0.26654,            0.053956,            0.037466,           0.0076975,             0.00967,             0.00967,             0.00967
                  12,            0.055831,            0.047184,           0.0082714,              0.7077,              0.5669,             0.62663,             0.25689,            0.055525,            0.036292,           0.0081841,            0.009637,            0.009637,            0.009637
                  13,            0.054905,            0.045771,           0.0078203,             0.70081,              0.5642,             0.62008,             0.27694,            0.054766,            0.037661,           0.0084297,            0.009604,            0.009604,            0.009604
                  14,            0.053844,            0.048707,           0.0074045,             0.70475,             0.53869,             0.59515,             0.25913,            0.055405,            0.040164,           0.0085585,            0.009571,            0.009571,            0.009571
                  15,            0.052907,            0.047894,           0.0070157,             0.73912,             0.61128,             0.66257,             0.28173,            0.053979,            0.036459,           0.0076708,            0.009538,            0.009538,            0.009538
                  16,            0.053549,            0.045725,           0.0076507,             0.70475,             0.60099,              0.6391,             0.27229,            0.053492,            0.037484,           0.0077743,            0.009505,            0.009505,            0.009505
                  17,            0.053299,            0.048747,           0.0071684,             0.70002,             0.57439,             0.61311,             0.25333,            0.054411,            0.037502,           0.0077739,            0.009472,            0.009472,            0.009472
                  18,            0.053097,            0.047763,           0.0071853,             0.73811,             0.62208,             0.67204,             0.27606,            0.054172,            0.035725,            0.007451,            0.009439,            0.009439,            0.009439
                  19,             0.05188,            0.042888,            0.006556,             0.71849,             0.64174,             0.67574,             0.28889,            0.053663,            0.035643,           0.0075814,            0.009406,            0.009406,            0.009406
                  20,            0.052021,            0.044641,           0.0069678,             0.78227,             0.63755,             0.70118,             0.30002,             0.05258,            0.035781,           0.0072307,            0.009373,            0.009373,            0.009373
                  21,            0.051469,            0.045724,           0.0066776,             0.73352,              0.6235,             0.67044,             0.31213,            0.051899,             0.03566,           0.0073308,             0.00934,             0.00934,             0.00934
                  22,            0.050319,            0.043488,           0.0066369,             0.78061,             0.60982,             0.68589,              0.3045,             0.05288,            0.035674,           0.0075676,            0.009307,            0.009307,            0.009307
                  23,            0.049415,            0.045985,           0.0060853,             0.73469,             0.59867,             0.66621,             0.30084,             0.05258,            0.038099,           0.0077238,            0.009274,            0.009274,            0.009274
                  24,            0.050737,             0.04437,           0.0066351,             0.76745,             0.61391,             0.68848,             0.31286,             0.05143,            0.037105,           0.0073348,            0.009241,            0.009241,            0.009241
                  25,            0.050333,             0.04366,           0.0065869,             0.73704,             0.66043,             0.69004,             0.30939,            0.052551,            0.037577,           0.0071773,            0.009208,            0.009208,            0.009208
                  26,            0.049488,            0.043869,            0.006299,             0.76439,             0.65593,              0.7025,             0.31919,            0.051744,            0.036808,           0.0072112,            0.009175,            0.009175,            0.009175
                  27,            0.049907,            0.044534,           0.0065581,             0.72248,             0.67991,             0.69536,             0.31364,            0.051725,            0.036882,           0.0071314,            0.009142,            0.009142,            0.009142
                  28,            0.049421,            0.042207,            0.006305,             0.76784,             0.62852,             0.69943,             0.31601,            0.051714,            0.036779,           0.0075246,            0.009109,            0.009109,            0.009109
                  29,            0.049362,            0.040895,           0.0063563,             0.76976,             0.62908,             0.68741,             0.30909,            0.052371,            0.038367,           0.0075014,            0.009076,            0.009076,            0.009076
                  30,            0.048166,             0.04254,           0.0059832,             0.80411,             0.61857,             0.68494,             0.30631,            0.052577,            0.039071,           0.0073931,            0.009043,            0.009043,            0.009043
                  31,            0.048199,            0.041345,           0.0058015,             0.79549,             0.61685,             0.68857,             0.30481,            0.052592,             0.03835,           0.0074234,             0.00901,             0.00901,             0.00901
                  32,            0.048754,            0.041654,           0.0063706,             0.74662,             0.64037,               0.676,             0.28687,            0.052479,            0.037012,           0.0068881,            0.008977,            0.008977,            0.008977
                  33,            0.048932,            0.042225,             0.00626,             0.77815,             0.65803,             0.71591,             0.31409,            0.052263,            0.036624,           0.0068166,            0.008944,            0.008944,            0.008944
                  34,            0.047338,            0.041182,           0.0057882,             0.77814,             0.64819,             0.70691,             0.32247,            0.051628,            0.036565,           0.0070953,            0.008911,            0.008911,            0.008911
                  35,            0.047634,            0.040536,           0.0062389,             0.71666,             0.65852,             0.68971,             0.31134,            0.051599,            0.037173,           0.0069561,            0.008878,            0.008878,            0.008878
                  36,            0.048253,            0.041819,           0.0063144,             0.78641,             0.65466,             0.71166,             0.32019,             0.05139,            0.037152,           0.0070535,            0.008845,            0.008845,            0.008845
                  37,              0.0477,            0.039168,           0.0058022,             0.77792,             0.66096,               0.705,             0.31877,            0.051402,            0.036105,            0.006823,            0.008812,            0.008812,            0.008812
                  38,            0.046674,            0.040674,           0.0057599,             0.75559,              0.6638,              0.7024,             0.31551,            0.051402,            0.036546,            0.007103,            0.008779,            0.008779,            0.008779
                  39,            0.046696,            0.039428,           0.0059964,             0.77395,             0.66023,             0.70485,             0.32971,            0.051022,            0.037395,           0.0070884,            0.008746,            0.008746,            0.008746
                  40,            0.047193,            0.040846,           0.0059199,             0.76651,             0.65518,               0.704,             0.30884,            0.052082,            0.037519,           0.0067331,            0.008713,            0.008713,            0.008713
                  41,            0.047816,             0.04357,           0.0058248,             0.78265,             0.67665,              0.7204,             0.33115,             0.05126,            0.036659,           0.0070659,             0.00868,             0.00868,             0.00868
                  42,            0.046288,            0.040286,           0.0060543,             0.76488,             0.65214,             0.70708,             0.32024,            0.050936,            0.036584,           0.0068627,            0.008647,            0.008647,            0.008647
                  43,             0.04731,            0.040385,           0.0057719,             0.79836,             0.64435,              0.6972,             0.32634,            0.051377,            0.038445,           0.0071618,            0.008614,            0.008614,            0.008614
                  44,             0.04536,             0.03811,           0.0052844,             0.79061,             0.65711,             0.71451,             0.32737,            0.051143,            0.037068,           0.0071851,            0.008581,            0.008581,            0.008581
